,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
10,Diamonds Cosmetology College,Sherman,75090-2657,,,514508.0,514508.0,296884.0,,540559.0,329915.0,59.0,2.0,1.0,5.0,2.0,49.0,0.0,0.0,0.0,,1.0,2.0,2.0,
11,Ogle School Hair Skin Nails-North Dallas,Dallas,75248-1216,,,2422873.0,2422873.0,1672164.0,,2760075.0,2760075.0,174.0,2.0,4.0,40.0,33.0,86.0,9.0,0.0,0.0,4.0,16.0,26.0,30.0,
12,Brown Mackie College-San Antonio,San Antonio,78229,,,1641260.0,1641260.0,679902.0,,1838795.0,1822515.0,86.0,0.0,0.0,21.0,30.0,26.0,1.0,8.0,0.0,,,,,128457.0
13,"Universal Technical Institute of Northern Texas, LLC",Irving,75063,,,,,,,,,,,,,,,,,,,,,,
14,Milan Institute of Cosmetology-El Paso,El Paso,79925,,,390758.0,390758.0,390758.0,,391058.0,391058.0,44.0,0.0,1.0,1.0,39.0,2.0,0.0,1.0,0.0,,,,,
15,Everest College-Fort Worth South,Ft Worth,76115,,,7331595.0,7331595.0,4742220.0,,7331595.0,7331595.0,398.0,2.0,5.0,147.0,166.0,70.0,8.0,0.0,0.0,,,,,130912.0
16,ATI Career Training Center-Lewisville,Lewisville,75067,,,1037725.0,1037725.0,1032230.0,,1205061.0,1205061.0,161.0,0.0,2.0,37.0,25.0,94.0,0.0,3.0,0.0,,,,,
17,Concorde Career Institute-San Antonio,San Antonio,78229,,,910000.0,910000.0,422000.0,,920000.0,1398000.0,185.0,0.0,1.0,19.0,128.0,31.0,2.0,4.0,0.0,12.0,7.0,29.0,30.0,159974.0
18,Concorde Career Institute-Dallas,Dallas,75243,,,600000.0,600000.0,243000.0,,607000.0,957000.0,106.0,0.0,3.0,58.0,23.0,19.0,2.0,1.0,0.0,14.0,6.0,28.0,29.0,158273.0
19,South Texas Vocational Technical Institute-San Antonio,San Antonio,78216,,,174149.0,163384.0,152442.0,,163384.0,174149.0,33.0,0.0,0.0,2.0,19.0,12.0,0.0,0.0,0.0,,,,,
20,Pima Medical Institute-Houston,Houston,77024,,,445722.0,445722.0,336980.0,,447722.0,556172.0,52.0,0.0,10.0,7.0,13.0,22.0,0.0,0.0,0.0,,,,,114415.0
21,Southern Careers Institute-Harlingen,Harlingen,78550,,,3745270.0,3745270.0,2260637.0,,3745270.0,3745270.0,132.0,0.0,0.0,2.0,125.0,3.0,2.0,0.0,0.0,,,,,
22,Southern Careers Institute-Corpus Christi 2,Corpus Christi,78410,,,884224.0,884224.0,464799.0,,884224.0,884224.0,84.0,0.0,0.0,3.0,75.0,3.0,3.0,0.0,0.0,,,,,
23,Southern Careers Institute-Brownsville,Brownsville,78520,,,2444354.0,2444354.0,1427419.0,,2444354.0,2444354.0,100.0,0.0,0.0,1.0,97.0,0.0,2.0,0.0,0.0,,,,,
24,MedVance Institute-Houston North,Houston,77060,,,7691588.0,7690588.0,4345172.0,,7690588.0,7691588.0,217.0,0.0,1.0,74.0,73.0,26.0,0.0,42.0,1.0,,,,,
